Mods count: 352
 
                                     jar name                                      |     notes     |                 mod id                 |                 mod name                  |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
BetterAdvancements-Forge-1.20.1-0.4.2.60.jar                                       |               | betteradvancements                     | Better Advancements                       | 0.4.2.60                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 42be4c5315133a8059c27e15c41b22edc26e9a98 | 1524448844     
betterchunkloading-1.20.1-5.4.jar                                                  |               | betterchunkloading                     | betterchunkloading mod                    | 1.20.1-5.4                   | betterchunkloading.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                               | cd7e61a4f5eca956094e0844560382ca58d79bc6 | 1208386908     
bettercombat-forge-1.9.0+1.20.1.jar                                                |               | bettercombat                           | Better Combat                             | 1.9.0+1.20.1                 | bettercombat.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | ea7e7247132cb3acacadd96b2b6b635c4cc63a74 | 1449708850     
BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar                                |               | bcc                                    | Better Compatibility Checker              | 4.0.8                        | bcc.mixins.json, bcc.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       | c5407cfd0b38d8db6d6f1c0088397f4c5616c7ae | 2251038378     
betterdays-1.20.1-3.3.4.5-FORGE.jar                                                |               | betterdays                             | BetterDays                                | 3.3.4.5                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 281989d937d10266e059d4df4813cdb536531584 | 2581493714     
    /META-INF/jarjar/whitenoise-1.20.1-forge-1.1.1.jar                             |               | whitenoise                             | WhiteNoise                                | 1.1.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
BetterEnd-20.0.8.jar                                                               |               | betterend                              | Better End                                | 20.0.8                       | betterend.mixins.client.json, betterend.mixins.common.json                                                                                                                                                                                                                                                                                                                                                                                                                                   | e3d193ea0bd287686f7e67aa59e529aa3be321c8 | 1623516896     
betterend-crashed-ships-1.0.0.jar                                                  | via Connector | betterend-crashed-ships                | BetterEnd Crashed Ships                   | 1.0.0                        | betterend-crashed-ships.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 63ea28f999b58d331f653d2611a414097d4ee6f4 | 1153380570     
betterendcities-1.0.0-1.20.1.jar                                                   |               | betterendcities                        | Better End Cities Vanilla                 | 1.0.0-1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | be5951d1f64cbac1f1d5a60e415f6e7bd90551d4 | 3225702455     
betterfpsdist-1.20.1-6.0.jar                                                       |               | betterfpsdist                          | betterfpsdist mod                         | 1.20.1-6.0                   | betterfpsdist.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 8e4fe2cd85c08c24ab363b47a63d1c872fc3cc1e | 514915357      
betterworldloading20-1.0.jar                                                       |               | betterworldloading20                   | Better World Loading                      | 1.0                          | betterworldloading20.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 877520eff23f44ffc9e399f5365dc67fd74281fc | 978354046      
biomespawnpoint-1.20.1-2.4.jar                                                     |               | biomespawnpoint                        | Biome Spawn Point                         | 2.4                          | biomespawnpoint_fabric.mixins.json, biomespawnpoint_forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                        | e30f052405e32f3fe7eac3b9966f35dfce302370 | 1070105882     
biomespy-1.3.3-all.jar                                                             |               | biomespy                               | BiomeSpy                                  | 1.3.3                        | biomespy.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 7cec406c736997eea5c7be0e88f625d64313e362 | 1705626942     
blazegear-1.4.7.jar                                                                |               | blazegear                              | Blaze Gear                                | 1.4.7                        | mixins.blazegear.refmap.json, mixins.blazegear.json                                                                                                                                                                                                                                                                                                                                                                                                                                          | 0bdbd7e402faccecba29028f924c98ef84ce411f | 3746670628     
Bookshelf-Forge-1.20.1-20.2.15.jar                                                 |               | bookshelf                              | Bookshelf                                 | 20.2.15                      | bookshelf.forge.mixins.json, bookshelf.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | 9df4908f606c6dc62a358b3e04e3fdedba59a12c | 4263061721     
